,2582580512.fna,2582580513.fna,2582580514.fna,2582580515.fna,2582580516.fna,2582580517.fna,2582580518.fna,2582580519.fna,2582580520.fna,2582580521.fna,2582580522.fna,2582580523.fna,2582580524.fna,2582580525.fna,2582580526.fna,2582580527.fna,2582580528.fna,2582580529.fna,2582580530.fna,2582580531.fna,2582580532.fna,2582580533.fna,2582580534.fna,2582580535.fna,2582580536.fna,2582580537.fna,2582580538.fna,2582580539.fna,2582580540.fna,2582580541.fna,2582580542.fna,2582580543.fna,2582580544.fna,2582580545.fna,2582580546.fna,2582580547.fna,2582580548.fna,2582580549.fna,2582580550.fna,2582580551.fna,2582580552.fna,2582580553.fna,2582580554.fna,2582580555.fna,2582580556.fna,2582580557.fna,2582580558.fna,2582580559.fna,2582580560.fna,2582580561.fna,2582580562.fna,2582580563.fna,2582580564.fna,2582580565.fna,2582580566.fna,2582580567.fna,2582580568.fna,2582580569.fna,2582580570.fna,2582580571.fna,2582580572.fna,2582580573.fna,2582580574.fna,2582580575.fna,2582580576.fna,2582580577.fna,2582580578.fna,2582580579.fna,2582580580.fna,2582580581.fna,2582580582.fna,2582580583.fna,2582580584.fna,2582580585.fna,2582580586.fna,2582580587.fna,2582580588.fna,2582580589.fna,2582580590.fna,2582580591.fna,2582580592.fna,2582580593.fna,2582580594.fna,2582580595.fna,2582580596.fna,2582580597.fna,2582580598.fna,2582580599.fna,2582580600.fna,2582580601.fna,2582580602.fna,2582580603.fna,2582580604.fna,2582580605.fna,2582580606.fna,2582580607.fna,2582580608.fna,2582580609.fna,2582580610.fna,2582580611.fna,2582580612.fna,2582580613.fna,2582580614.fna,2582580615.fna,2582580616.fna,2582580617.fna,2582580620.fna,2582580621.fna,2582580622.fna,2582580623.fna,2582580624.fna,2582580625.fna,2582580627.fna,2582580628.fna,2582580629.fna,2582580630.fna,2582580631.fna,2582580632.fna,2582580633.fna,2582580634.fna,2582580635.fna,2582580637.fna,2582580638.fna,2582580639.fna,2582580640.fna,2582580641.fna,2582580642.fna,2582580643.fna,2582580644.fna,2582580646.fna,2582580647.fna,2582580648.fna,2582580649.fna,2582580650.fna,2582580651.fna,2582580652.fna,2582580653.fna,2582580654.fna,2582580657.fna,2582580658.fna,2582580659.fna,2582580662.fna,2582580663.fna,2582580664.fna,2582580665.fna,2582580668.fna,2582580669.fna,2582580670.fna,2582580671.fna,2582580672.fna,2582580673.fna,2582580674.fna,2582580675.fna,2582580677.fna,2582580679.fna,2582580680.fna,2582580682.fna,2582580683.fna,2582580684.fna,2582580685.fna,2582580686.fna,2582580687.fna,2582580688.fna,2582580689.fna,2582580690.fna,2582580691.fna,2582580692.fna,2582580693.fna,2582580694.fna,2582580695.fna,2582580697.fna,2582580698.fna,2582580699.fna,2582580700.fna,2582580701.fna,2582580702.fna,2582580703.fna,2582580704.fna,2582580705.fna,2582580706.fna,2582580707.fna,2582580708.fna,2582580709.fna,2582580711.fna,2582580712.fna,2582580714.fna,2588253500.fna,2593339176.fna,2593339177.fna,2593339178.fna,2593339179.fna,2593339180.fna,2593339181.fna,2593339182.fna,2593339183.fna,2593339184.fna,2593339185.fna,2593339186.fna,2593339187.fna,2593339188.fna,2593339189.fna,2593339190.fna,2593339191.fna,2593339192.fna,2593339193.fna
2582580522.fna,0,0,0,0,0,0,0,0,0,0,100,0,0,0,68.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2582580523.fna,0,0,0,0,0,0,0,0,0,71.4,0,100,69.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.48,0,70.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.12,0,0,0,0,0,0,0,0,67.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.66,68.56,68.38,0,0,0,0,0,69.45,0,0,0,0,0,0,0,0,0,0,67.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2582580524.fna,0,0,0,0,0,0,0,0,0,0,0,69.57,100,0,0,0,0,0,0,0,0,0,0,0,0,0,68.28,0,0,0,0,0,0,0,78.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.17,0,0,0,70.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.88,0,70.4,0,0,0,0,0,0,0,0,0,70.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.55,69,0,0,68.4,0,0,0,0,0,0,0,80.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.87,0,0,0,0,0,0,0,0,0,0,0,0,0,68.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2582580525.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,69.08,0,0,0,0,0,0,67.64,0,0,0,0,0,0,0,0,0,0,0,0,79.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.55,79.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.56,0,0,0,0,0,0,0,0,0,0,0,0,0,67.36,68.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2582580526.fna,0,68.19,0,0,0,0,0,0,0,0,67.48,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,67.75,0,0,0,68.29,0,0,0,0,68.92,0,0,0,0,0,0,0,0,69.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.24,0,0,67.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.95,73.37,0,0,0,0,0,0,0,0,0,0,0,0,67.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2582580527.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.9,0,0,0,68.15,0,72.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.78,0,67.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.37,0,0,0,0,0,0,0,0,0,0,0
2582580528.fna,0,0,0,0,0,66.37,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.18,0,0,0,0,69.87,0,0,0,0,0,0,0,0,70.3,0,0,0,0,0,0,0,69.82,0,0,70.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.72,0,0,0,0,0,0,0,0,0,0,0,0,69.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.37,0,0,69.92,0,70.01,0,0,71.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.42,0,0,0,0,0,0,0,0,0,0,0,0,0,69.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.33,0,0,0,71.13,0,0,0
2582580529.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2582580530.fna,0,0,0,0,0,72.28,0,0,69.09,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,71.06,0,0,0,0,67.98,0,0,0,0,0,0,0,0,0,71.66,0,0,0,0,0,0,0,0,0,0,69.68,0,0,0,0,0,68.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.36,0,0,0,0,0,0,0,67.33,0,0,68.37,0,0,66.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.36,64.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.49,0,0,0,0,0,0,0,0
2582580531.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,70.82,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.4,0,0,0,0,0,0,69.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2582580532.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,67.16,0,72.37,0,0,0,0,0,72.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.64,67.08,0,0,0,0,0,0,68.02,66.97,0,0,0,69.68,0,0,0,68.94,0,0,0,0,0,0,0,0,71.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.77,0,0,69.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.16,0,0,0,0,0,0,0,0,0,0,0,0,68.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.9,0,0,0,0,0,0,0,0,0,0
2582580533.fna,0,0,0,0,0,0,0,64.84,0,0,0,0,0,0,0,0,0,0,0,0,67.6,100,0,66.16,0,0,0,0,0,69.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.95,0,0,0,0,0,0,66.68,0,0,0,0,71.31,0,0,0,68.86,0,0,0,0,0,0,0,0,67.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.57,0,0,0,0,0,0,0,0,0,0,0,0,63.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2582580534.fna,0,0,0,0,0,0,83.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2582580535.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.39,69.06,0,100,0,0,0,0,0,71.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.85,0,0,0,0,0,0,0,0,66.95,67.63,0,0,0,0,0,68.04,0,0,0,0,69.35,0,0,0,69.52,0,0,0,0,0,0,0,0,71.83,0,0,0,0,0,0,67.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.36,0,0,70.1,0,0,0,0,0,0,0,0,0,68.2,0,0,0,0,0,0,0,0,69.57,0,0,0,0,0,0,0,0,0,0,0,0,70.02,0,0,0,0,67.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
